名称,住所,電話番号,休診日,診療科目,診療時間,公衆衛生事業,種別,経度,緯度,LINKS
"桜ヶ丘病院","埼玉県深谷市国済寺408-5","048-571-1171㈹","日曜・祝日・土曜午後","産科・婦人科・内科・消化器内科","午前9:00~12:00(受付8:30~11:30)    午後3:00~6:00(受付2:30~5:30)",,"病院","36.188","139.298",
"佐々木病院（救急告示）","埼玉県深谷市西島町2-16-1","048-571-0242","日曜・祝日・第３木曜・その他木曜午後","外科・胃腸科・内科・整形外科・形成外科・循環器科・脳神経外科・皮膚科・リハビリテーション科","午前9:00~12:30  午後3:00~5:30  土曜の午後は5:00まで",,"病院","36.19","139.286",
"安達皮膚科医院","埼玉県深谷市上柴町西4-4-19","048-571-2301","日曜・木曜・祝日","皮膚科","午前9:00~12:00  午後2:30~6:00  土曜の午後は5:00まで",,"病院","36.178","139.298",
"いいづかクリニック","埼玉県深谷市上柴町西2-14-14","048-551-1117","日曜・木曜・祝日","消化器内科・外科・肛門外科","午前9:00~12:00 午後3:00~6:00 土曜の午後は2:00~5:00",,"病院","36.182","139.302",
"石川アイクリニック","埼玉県深谷市上野台3176-2","048-572-6315","日曜・水曜・祝日","眼科","月~土  午前(水曜除く)9:00~12:00  月･金  午後3:00~5:00",,"病院","36.184","139.276",
"石川医院耳鼻咽喉科","埼玉県深谷市西島町3-17-65","048-571-0038","日曜・木曜・祝日・火曜午後・土曜午後","耳鼻咽喉科","午前9:00~12:30 午後2:30~6:00",,"病院","36.191","139.283",
"磯部クリニック","埼玉県深谷市新井926","048-575-1131","日曜・祝日・第１・３・５土曜日","脳神経外科・内科・呼吸器科・アレルギー科","月~金(受付)午前8:30~11:00  第2･4土曜日は予約の方のみの診療です｡",,"病院","36.214","139.316",
"いちごこどもクリニック","埼玉県深谷市東方町1-10-3","048-551-1515","日曜・祝日・水曜午後・土曜午後","小児科・アレルギー科","午前9:00~12:00 午後2:00~6:00",,"病院","36.188","139.313",
"井上こどもクリニック","埼玉県深谷市上野台2456-7","048-580-6022","日曜・祝日・木曜午後・土曜午後","小児科・アレルギー科","午前9:00~12:00    午後2:00~6:00(月~水･金午後2:00~3:00予防接種専用時間)",,"病院","36.178","139.284",
"内田ハートクリニック","埼玉県深谷市東方町2-15-6","048-574-0040","日曜・木曜・祝日","内科・循環器科","午前9:00~12:30  午後3:00~6:00  土曜の午後は5:00まで",,"病院","36.186","139.318",
"加藤内科クリニック","埼玉県深谷市戸森143","048-577-6636","日曜・木曜・祝日・土曜午後","内科・小児科","午前9:00~12:30 午後3:00~6:00",,"病院","36.205","139.279",
"神田クリニック","埼玉県深谷市小前田628-11","048-579-1790","日曜・祝日・第３土曜・水曜午後・土曜午後","脳神経外科・内科","午前9:00~12:30  午後2:30~5:30  土曜  午前9:00~12:00",,"病院","36.119","139.234",
"こくさいじクリニック","埼玉県深谷市国済寺347-1","048-551-2525","日曜・火曜・木曜・祝日・土曜午後   人工透析 日曜","乳腺外科・内科・人工透析","午前8:30~12:00  午後2:00~5:30  人工透析  午前8:15 ~午後5:30",,"病院","36.189","139.3",
"彩花クリニック","埼玉県深谷市小前田2533-1","048-584-7205","日曜・木曜・祝日","内科・小児科・婦人科","午前9:00~12:00 午後3:00~7:00(受付6:30まで) 土曜の午後は5:00まで(受付4:30まで) 午後2:00~3:00予防接種専用時間",,"病院","36.13","139.223",
"佐藤外科胃腸科内科医院","埼玉県深谷市内ヶ島803","048-573-6511","日曜・祝日・水曜午後・土曜午後","外科・胃腸科・内科","午前9:00~12:00 午後3:00~6:00",,"病院","36.215","139.278",
"しがらき医院","埼玉県深谷市東方3276-11","048-598-5765","日曜・水曜・祝日・金曜午後","内科・呼吸器内科・循環器内科・アレルギー科","午前9:00~12:30(受付12:00まで)午後3:30~7:00(受付6:30まで)土曜日            午後2:30~6:00(受付5:30まで)",,"病院","36.179","139.336",
"清水クリニック","埼玉県深谷市畠山1709","048-583-3245","日曜・木曜。祝日","内科","(受付)午前8:00~11:00  午後2:00～5:00 午後は予約制",,"病院","36.127","139.274",""
"清水内科クリニック","埼玉県深谷市人見445-1","048-573-1197","日曜・祝日・木曜午後・土曜午後","内科・消化器内科・循環器内科・リハビリテーション科","午前9:00~12:00 午後3:00~6:00",,"病院","36.173","139.276",
"正田眼科","埼玉県深谷市稲荷町1-2-15","048-571-1198","日曜・祝日・木曜午後・土曜午後","眼科","午前9:00~12:30 午後2:30~6:00 木曜は午前9:00~12:00",,"病院","36.188","139.291",""
"しようのもりクリニック","埼玉県深谷市岡336-1","048-501-5553","日曜・土曜・祝日・木曜午後","消化器外科・外科・内科・精神科・心療内科","午前9:00 ~ 12:00(受付11:30まで) 午後2:00 ~5:00(受付4:30まで)精神科･心療内科は水曜午前･金曜 予約制",,"病院","36.213","139.244",
"上武内科クリニック","埼玉県深谷市本田ヶ谷210-2","048-572-5588","日曜・祝日・木曜午後・土曜午後","内科・小児科・循環器科・消化器科","午前9:00~12:00 午後3:00~6:00",,"病院","36.207","139.335",
"白倉医院","埼玉県深谷市稲荷町3-3-1","048-571-0169","日曜・祝日・土曜午後・毎月20日","内科・小児科・胃腸科","午前9:00~12:00 午後3:00~6:00",,"病院","36.194","139.293",""
"白倉クリニック","埼玉県深谷市仲町7-5","048-574-0502","水曜・祝日・土曜午後","内科・小児科・胃腸科","午前9:00~12:00 午後3:00~6:00 金曜の午前は訪問診療のみ",,"病院","36.193","139.286",""
"すずきクリニック","埼玉県深谷市本住町13-1-2","048-580-6682","日曜・祝日・水曜・土曜午後","内科・消化器内科・外科","午前9:00~12:00 午後3:00~6:00",,"病院","36.194","139.288",""
"須藤医院","埼玉県深谷市小前田2799-1","048-584-0036","日曜・祝日・第5土曜・水曜午後・土曜午後","内科・小児科・呼吸器科","午前9:00~12:00（受付11:50まで） 午後3:00~6:00（受付5:50まで）",,"病院","36.136","139.230",""
"台坂クリニック","埼玉県深谷市萱場302-1","048-573-1226","日曜・祝日・土曜午後","皮膚科・泌尿器科・アレルギー科・内科（人工透析）","午前9:00～12:00　月・水・木 午後2:30～5:30　火・金  午後4:00～7:00",,"病院","36.188","139.27",""
"高木医院","埼玉県深谷市仲町17-22","048-571-0837","日曜・祝日","内科・小児科・呼吸器科","午前9:00~12:00 午後3:00~7:00",,"病院","36.195","139.288",""
"高田医院","埼玉県深谷市原郷4-14","048-573-1244","日曜・木曜・祝日","内科","午前9:00~12:00  午後3:00~6:00  土曜の午後は5:00まで",,"病院","36.193","139.295",""
"高橋眼科医院","埼玉県深谷市栄町1-47","048-571-0318","日曜・祝日・水曜午後・土曜午後","眼科","午前9:00~12:00 午後2:30~6:00",,"病院","36.194","139.282",""
"田部井医院","埼玉県深谷市深谷町9-32","048-571-6098","日曜・祝日・火曜午後・木曜午後・土曜午後","内科・小児科","午前9:00~12:00 午後3:00~6:00",,"病院","36.193","139.282",""
"外山ひふ科","埼玉県深谷市上柴町東4-13-5","048-570-5131","日曜・木曜・祝日","皮膚科","午前9:00~12:00   午後2:30~6:00   土曜の午後は5:00まで(土曜は予約制)",,"病院","36.179","139.305",""
"花園耳鼻咽喉科医院","埼玉県深谷市小前田2060-1","048-584-6512","日曜・祝日・木曜","耳鼻咽喉科","午前9:00~12:00  午後3:00~6:00  土曜の午後は5:00まで",,"病院","36.13","139.235",
"樋口医院","埼玉県深谷市本郷78","048-585-4315","日曜・祝日・土曜午後","内科・小児科","午前9:00~12:00 午後3:00~6:00",,"病院","36.178","139.222",""
"ふかや眼科","埼玉県深谷市西島町3-14-8","048-572-3910","木曜・金曜","眼科","午前9:00~12:30  午後   月･火･水   3:00~6:00   土･日･祝   5:00まで",,"病院","36.19","139.284",""
"深谷肛門科","埼玉県深谷市原郷449-2","048-571-8355㈹","日曜・祝日・土曜午後","肛門外科","午前9:00~12:00 午後3:00~6:00",,"病院","36.197","139.298",""
"深谷産婦人科医院","埼玉県深谷市上野台3027-2","048-571-7000","日曜・祝日・土曜午後","産婦人科","午前9:00~12:00(受付8:30 ~ 11:30)   午後4:00~6:00(受付3:30 ~5:30)   火曜の外来は午前のみ診療",,"病院","36.184","139.277",
"深谷整形外科医院","埼玉県深谷市宿根245-1","048-574-0022","祝日・金曜","整形外科・リハビリテーション科・リウマチ科","初診の方はなるべく午前中に御来院ください｡午前9:00~12:00   午後3:00~6:00   土曜   午前8:00~12:00   午後3:00~6:00",,"病院","36.194","139.269",
"深谷赤十字病院（救急告示・救命救急センター）","埼玉県深谷市上柴町西5-8-1","048-571-1511","日曜・土曜・祝日   創立記念日（11月１日）","内・総診内・精・神内・消・循・小・外・整・形外・脳外・呼外・心外・小外・皮・泌・産婦・眼・麻・放診断・緩和ケア・耳咽・歯科口腔外・病理診断","受付時間  午前8:30~11:30  診療科により休診日あり､要確認",,"病院","36.18","139.298",""
"深谷中央病院（救急告示）","埼玉県深谷市原郷500","048-571-8032","日曜・祝日","内科・整形外科・放射線科・リハビリテーション科・リウマチ科・歯科","(受付)午前8:30~11:30　午後1:15~6:00　土曜の午後は4:30まで 急患は日･祝日も外来診療可",,"病院","36.201","139.298",""
"深谷メンタルクリニック","埼玉県深谷市西島町3-17-47","048-573-2520","日曜・祝日","精神科・心療内科","午前9:00~12:00   午後3:00~6:00   土曜の午後は5:00まで　初診は予約制",,"病院","36.191","139.284",""
"福島医院","埼玉県深谷市上野台2778-1","048-571-0924","日曜・祝日","産婦人科・内科・小児科","午前9:00~12:00",,"病院","36.181","139.276",""
"プラーナクリニック","埼玉県深谷市柏合144-2","048-551-1500","日曜・祝日","内科・呼吸器内科・循環器内科・糖尿病内科","午前9:00~午後1:00(受付12:30まで) 午後2:30~6:30(受付6:00まで) ",,"病院","36.177","139.273",""
"古沢医院","埼玉県深谷市上柴町西6-4-3","048-572-9901","日曜・祝日・木曜午後","内科・小児科","午前9:00~12:00 午後3:00~6:00 土曜は午前9:00~午後2:00",,"病院","36.178","139.295",""
"益岡医院","埼玉県深谷市岡部1243","048-585-5657","日曜・祝日・木曜午後・土曜午後","内科・外科・消化器科・整形外科・リハビリテーション科","午前9:00~12:00 午後3:00~6:00",,"病院","36.2","139.254",""
"松村泌尿器科医院","埼玉県深谷市上柴町西2-12-18","048-551-5502","日曜・水曜・祝日","泌尿器科","午前9:00~午後1:00  午後3:00~6:00  予約優先",,"病院","36.183","139.299",
"水越医院","埼玉県深谷市普済寺1116-11","048-585-2038","毎月４日・日曜・祝日・土曜午後","内科・呼吸器科・アレルギー科・小児科","午前9:00~12:00 午後4:00~6:30 土曜は午前9:00~12:30",,"病院","36.206","139.251",""
"柳田医院","埼玉県深谷市榛沢新田858-2","048-585-2391","日曜・祝日・木曜午後","内科・循環器科・小児科","午前9:00~12:00  午後2:00~6:00  土曜の午後は5:00まで",,"病院","36.206","139.219",""
"矢部耳鼻咽喉科","埼玉県深谷市上柴町東4-13-6","048-574-3535","日曜・木曜・祝日","耳鼻咽喉科","午前9:00~12:00  午後2:30~6:00  土曜の午後は5:00まで",,"病院","36.179","139.305",
"山本整形外科内科医院","埼玉県深谷市高畑203-1","048-572-8081","日曜・木曜・祝日","整形外科・内科","午前9:00~12:00",,"病院","36.213","139.29",
"吉田医院","埼玉県深谷市田所町8-1","048-571-0232","日曜・祝日・土曜午後","内科・小児科・眼科","午前9:00~12:00   午後3:00(受付は2:30から)~5:30   眼科は午前9:00~12:00   午後は予約",,"病院","36.191","139.277",""
"吉田眼科医院","埼玉県深谷市岡2757-3","048-585-2054","日曜・祝日","眼科","(受付)午前8:00~11:00",,"病院","36.211","139.245",""
"四元医院","埼玉県深谷市上柴町西1-4-1","048-573-5200","日曜・祝日・木曜午後・土曜午後","外科・内科","午前9:30~12:30 午後3:00~6:00",,"病院","36.184","139.299",""
"楽仙堂病院","埼玉県深谷市東方2100","048-571-0205","日曜・祝日・第２・第４土曜","内科・精神科・循環器科・心療内科","午前9:00~12:30 午後3:40~5:30",,"病院","36.191","139.314",""
"休日診療所","埼玉県深谷市国済寺319-3","048-573-7723（代表）","日曜・祝日、12月31日、1月1・2・3日","内科、小児科","午前9:00~12:00（受付は11:30まで）午後2:00~5:00（受付は4:30まで）",,"急患診療","36.190","139.294",""
"こども夜間診療所","埼玉県深谷市国済寺319-3","048-573-7723（代表）","土曜・日曜・祝日、12月31日、1月1・2・3日","小児科、内科（こども）","午後7:00~10:00（受付は9:30まで）",,"急患診療","36.187","139.298",""
"しばさき耳鼻咽喉科","埼玉県深谷市上柴町西3-9-2","048-570-0033","日用・水曜・祝日・土曜午後","耳鼻咽喉科","午前9:00～12:30　午後3:00～6:00",,"病院","36.184","139.302",
"本庄ひだまりクリニック","埼玉県深谷市岡2734-6","048-501-6200","木曜・日曜・祝日","内科・消化器内科","午前9:00～午後1:00　予約制　午後2:00～6:00　訪問診療",,"病院","36.211","139.239",
